0,1,2,Typy produktu,,,Typy produktu Unikaty
AGD,AGD - Produkty,Myjki ultradźwiękowe,Aparaty fotograficzne,,,Bluetooth
AGD,AGD - Produkty,Młynki do kawy,Aparaty na haluksy,,,Bluzy
AGD,AGD - Produkty,Młynki do przypraw,Aparaty słuchowe,,,Błotniki
AGD,AGD - Produkty,Naczynia żaroodporne,Aparaty słuchowe,,,Bojlery
AGD,AGD - Produkty,Ociekacze i suszarki do naczyń,Apteczki,,,Bramka bezpieczeństwa
AGD,AGD - Produkty,Oczyszczacze i nawilżacze powietrza,"Areatory, wertykulatory",,,Bramki do piłki nożnej
AGD,AGD - Produkty,Odkurzacze,"Areatory, wertykulatory",,,Bramki przemysłowe
AGD,AGD - Produkty,Okapy kuchenne,"Areatory, wertykulatory",,,Bramy
AGD,AGD - Produkty,Opiekacze,Artykuły biurowe,,,Broń
AGD,AGD - Produkty,Ostrzałki,Artykuły biurowe,,,Bruzdownice
AGD,AGD - Produkty,Osuszacze powietrza,Atlasy,,,Bujaki i skoczki
AGD,AGD - Produkty,Parowary,Atrapy,,,Butelki
AGD,AGD - Produkty,Parownice,Atrapy,,,Butelki z tuszem
AGD,AGD - Produkty,Piekarniki do zabudowy,Atrapy,,,Buty
AGD,AGD - Produkty,Podajniki do folii i papieru,Atrapy broni,,,Bypass
AGD,AGD - Produkty,Podgrzewacze do butelek,Atrapy broni,,,CB Radia
AGD,AGD - Produkty,Podgrzewacze do potraw,Atrapy dronów,,,Cegły i pustaki
AGD,AGD - Produkty,Pojemniki do zlewów,Automaty do jogurtów,,,Centrale systemu
AGD,AGD - Produkty,Pojemniki na środki czyszczące,Automaty do pieczenia chleba,,,Centralki tel. VoIP
AGD,AGD - Produkty,Pojemniki na żywność,Automaty do pieczenia pizzy,,,Chemia
AGD,AGD - Produkty,Polerki do obuwia,Automaty do popcornu,,,Chlapacze
AGD,AGD - Produkty,Pralki do zabudowy,Automatyczne konewki,,,Chłodzenie
AGD,AGD - Produkty,Pralki wolnostojące,Automatyka do bram,,,Chłodzenie wodne
AGD,AGD - Produkty,Pralko-suszarki do zabudowy,Bagażniki,,,Chłodziarki
AGD,AGD - Produkty,Pralko-suszarki wolnostojące,"Bagażniki, kosze i kufry",,,Chodziki
AGD,AGD - Produkty,Prodiże elektryczne,Baldachimy,,,Chodziki i jeździki
AGD,AGD - Produkty,Prostownice do włosów,Balkoniki rehabilitacyjne,,,"Chusty, arafatki, kominy"
AGD,AGD - Produkty,Płyty grzejne do zabudowy,Balkoniki rehabilitacyjne,,,Chwytaki
AGD,AGD - Produkty,Roboty kuchenne,Balkoniki rehabilitacyjne,,,Chwytaki do podnoszenia
AGD,AGD - Produkty,Roboty sprzątające,Barierki do łóżka,,,Ciśnieniomierze
AGD,AGD - Produkty,Saturatory,Baseny i brodziki,,,Czajniki
AGD,AGD - Produkty,Sokowirówki,"Baseny, brodziki, jacuzzi",,,Czapki
AGD,AGD - Produkty,Spieniacze do mleka,Baterie,,,Czapki i kaski
AGD,AGD - Produkty,Suszarki automatyczne do zabudowy,Baterie,,,Czekany
AGD,AGD - Produkty,Suszarki automatyczne wolnostojące,Baterie,,,Czepki
AGD,AGD - Produkty,Suszarki do butów,Baterie,,,Cześci i akcesoria do hulajnogi
AGD,AGD - Produkty,"Suszarki do grzybów, warzyw i owoców",Baterie,,,Części rowerowe
AGD,AGD - Produkty,Suszarki do rąk,Baterie,,,Części zamienne i serwisowe
AGD,AGD - Produkty,Suszarki do włosów,Baterie,,,Czujki
AGD,AGD - Produkty,Suszarki wolnostojące,Baterie do wody,,,Czujniki
AGD,AGD - Produkty,Suszarki łazienkowe i wolnostojące,Baterie do wody,,,Czujniki do UPS
AGD,AGD - Produkty,Szczoteczki do zębów,Baterie do wody,,,Czujniki MEMS
AGD,AGD - Produkty,Szczotki akumulatorowe,Bazy do fotelików dziecięcych,,,Czujniki parkowania i kamery cofania
AGD,AGD - Produkty,Sztućce i przybory kuchenne,Bazy do fotelików samochodowych,,,Czujniki ruchu
AGD,AGD - Produkty,Szuflady grzewcze,Bezpieczniki,,,Czyściki
AGD,AGD - Produkty,Szybkowary,Bębny,,,Czytniki
AGD,AGD - Produkty,Termosy i kubki termiczne,Bębny,,,Czytniki e-Book
AGD,AGD - Produkty,Termowentylatory,Bębny,,,Czytniki Kart
AGD,AGD - Produkty,Tostery,Bębny,,,Czytniki kart 
AGD,AGD - Produkty,Urządzenia do gotowania ryżu,Bębny,,,Czytniki kart dostępu
AGD,AGD - Produkty,Urządzenia do hot dogów,Bębny,,,Czytniki kart pamięci
AGD,AGD - Produkty,Urządzenia do masażu,Bębny,,,Czytniki linii papilarnych
AGD,AGD - Produkty,Urządzenia do pakowania próżniowego,Bębny,,,Dalmierze
AGD,AGD - Produkty,Urządzenia do smażenia naleśników,Bębny,,,"Dalmierze, niwelatory"
AGD,AGD - Produkty,Urządzenia do wyrobu makaronu,Bębny,,,Dania gotowe
AGD,AGD - Produkty,Waflownice,Bębny,,,Dekoracje
AGD,AGD - Produkty,Wagi kuchenne,Bębny,,,Depilatory
AGD,AGD - Produkty,Wagi łazienkowe,Bębny,,,Deski
AGD,AGD - Produkty,Warniki,Bidony,,,Deski do prasowania
AGD,AGD - Produkty,Wentylatory,Bidony i Shakery,,,Deski i teczki z klipem
AGD,AGD - Produkty,Wirówki,Bielizna,,,Deski WC i mocowania
AGD,AGD - Produkty,Witryny chłodnicze,Bielizna,,,Deskorolki
AGD,AGD - Produkty,Wkłady do zlewów,Bielizna,,,Dezynfekcja
AGD,AGD - Produkty,Woki,Bielizna,,,Dilda
AGD,AGD - Produkty,Wolnowary,Bielizna,,,Diody LED
AGD,AGD - Produkty,Wyciskarki do cytrusów,Bielizna,,,Dłuta
AGD,AGD - Produkty,Wyciskarki wolnoobrotowe,Bielizna,,,Dmuchawki
AGD,AGD - Produkty,Wypiekacze,Bieżnie,,,Do butów - elementy serwisowe
AGD,AGD - Produkty,Zamrażarki do zabudowy,"Bieżniki, podkładki, podstawki",,,do rozbicia
AGD,AGD - Produkty,Zamrażarki wolnostojące,Bindownice,,,Do snu
AGD,AGD - Produkty,Zaparzacze i kawiarki,Biurka i krzesła,,,Dodatki spożywcze
AGD,AGD - Produkty,Żelazka i generatory pary,Biurka i krzesła,,,Domki dla lalek
AGD,AGD - Produkty,Zestawy WC,Biurka i krzesła,,,Domki ogrodowe
AGD,AGD - Produkty,Zgrzewarki do folii,Biurka i krzesła,,,"Domki, namioty dla dzieci"
AGD,AGD - Produkty,Zlewozmywaki,Biurka i krzesła,,,Domofony
AGD,AGD - Produkty,Zmywarki do zabudowy,Biurka i krzesła,,,Domowe stacje pogodowe
AGD,AGD - Produkty,Zmywarki wolnostojące,Biurka i krzesła,,,Donice
AGD,UŻYWANE PRODUKTY AGD,Ekspresy do kawy,Biurka i krzesła,,,Dozowniki
AGD,Wyposażenie,"Bieżniki, podkładki, podstawki",Biurka i krzesła,,,Drabiny
AGD,Wyposażenie,Blachy i formy do pieczenia,Biurka i krzesła,,,Drapaki
AGD,Wyposażenie,Dystrybutory na napoje,Biurka i krzesła,,,Dresy
AGD,Wyposażenie,Kubki,Biurka i krzesła,,,Drewno konstrukcyjne
AGD,Wyposażenie,Naczynia,Biurka i krzesła,,,Drobne narzędzia ogrodowe
AGD,Wyposażenie,Organizery,Biurka i krzesła,,,Drony
AGD,Wyposażenie,"Patery, etażerki",Biurka i krzesła,,,Drukarki
AGD,Wyposażenie,Przechowywanie żywności,Biżuteria,,,"Druty, igły, szydełka"
AGD,Wyposażenie,Salaterki i półmiski,Biżuteria,,,Drzwi przesuwne
AGD,Wyposażenie,Słoiki i butelki,Blachy i formy do pieczenia,,,Drzwi przesuwne do alejek
Artykuły spożywcze,Dania gotowe,Dania główne,Blaty,,,DVB-T Karty komputerowe
Artykuły spożywcze,Dania gotowe,Dania śniadaniowe,Bloczki samoprzylepne,,,Dyfuzory
Artykuły spożywcze,Dania gotowe,Desery,Bloki i zeszyty,,,Dyski HDD
Artykuły spożywcze,Dania gotowe,Zupy,Bluetooth,,,Dyski HDD /Dyski SSD
Artykuły spożywcze,Dodatki,Bakalie i owoce,Bluzy,,,Dyski SSD
Artykuły spożywcze,Dodatki,Dodatki sypkie,Bluzy,,,Dyski SSHD
Artykuły spożywcze,Kawa i herbata,Czekolada rozpuszczalna,Bluzy,,,Dyski zewnętrzne
Artykuły spożywcze,Kawa i herbata,Herbata,Bluzy,,,Dyskietki
Artykuły spożywcze,Kawa i herbata,Kawa mielona,Bluzy,,,Dystrybutory fontannowe
Artykuły spożywcze,Kawa i herbata,Kawa rozpuszczalna,Bluzy,,,Dystrybutory na napoje
Artykuły spożywcze,Kawa i herbata,Kawa w kapsułkach,Bluzy,,,Dywaniki
Artykuły spożywcze,Kawa i herbata,Kawa ziarnista,Bluzy,,,Dziurkacze
Artykuły spożywcze,Napoje,Gazowane,Bluzy,,,Dzwonki
Artykuły spożywcze,Napoje,Niegazowane,Bluzy,,,Efekty gitarowe
Artykuły spożywcze,Napoje,Soki,Bluzy,,,Ekranowe filtry
Artykuły spożywcze,Produkty mączne,Do wypieku,Bluzy,,,Ekrany
Artykuły spożywcze,Produkty mączne,Gotowe,Bluzy,,,Ekrany projekcyjne
Artykuły spożywcze,"Ryże, makarony, kasze",Kasze,Bluzy,,,Ekspresy
Artykuły spożywcze,"Ryże, makarony, kasze",Makarony,Błotniki,,,Elektronika do dronów
Artykuły spożywcze,"Ryże, makarony, kasze",Ryże,Bojlery,,,Elektrostymulacja
Artykuły spożywcze,Słodycze i przekąski,Batony,Bramka bezpieczeństwa,,,Elektrostymulatory
Artykuły spożywcze,Słodycze i przekąski,Ciasta,Bramki do piłki nożnej,,,Elektrozaczepy
Artykuły spożywcze,Słodycze i przekąski,Ciastka,Bramki przemysłowe,,,Elementy konstrukcyjne i łączące
Artykuły spożywcze,Słodycze i przekąski,Czekolady,Bramy,,,Elementy montażowe
Artykuły spożywcze,Słodycze i przekąski,Gumy do żucia,Broń,,,Etui i futerały
Artykuły spożywcze,Słodycze i przekąski,Krakersy,Broń,,,Etykiety
Artykuły spożywcze,Słodycze i przekąski,Orzechy i mieszanki,Broń,,,Etykiety samoprzylepne
Artykuły spożywcze,Słodycze i przekąski,"Pralinki, czekoladki",Bruzdownice,,,Extendery
Artykuły spożywcze,Słodycze i przekąski,Przekąski słodkie,Bujaki i skoczki,,,Farby
Artykuły spożywcze,Słodycze i przekąski,Przekąski słone,Butelki,,,Farby do maskowania i kamuflażu
Artykuły spożywcze,Słodycze i przekąski,Przekąski zbożowe,Butelki z tuszem,,,Figurki
Artykuły spożywcze,Słodycze i przekąski,"Sezamki, chałwa",Buty,,,Filamenty
Artykuły spożywcze,Słodycze i przekąski,Żelki,Buty,,,Filmy
Artykuły spożywcze,Żywność dla dzieci,Produkty bezmleczne,Buty,,,Filtry
Artykuły spożywcze,Żywność dla dzieci,Produkty mleczne,Buty,,,Filtry fotograficzne
Digital Signage & Business TV,Ekrany LED,Kurtyny LED,Buty,,,Firewalle i bramy zabezpieczające
Digital Signage & Business TV,Ekrany LED,Tablice wyników,Buty,,,Firewalle sprzętowe
Digital Signage & Business TV,Ekrany LED,Telebimy Mobilne,Buty,,,Folie do laminacji
Digital Signage & Business TV,"Kable, gniazda, wtyki","Gniazda, wtyki",Buty,,,Folie i szkła
Digital Signage & Business TV,"Kable, gniazda, wtyki",Kable antenowe,Buty,,,Folie pakowe
Digital Signage & Business TV,"Kable, gniazda, wtyki",Kable HDMI,Bypass,,,Folie termotransferowe
Digital Signage & Business TV,"Kable, gniazda, wtyki",Kable JACK i RCA(Cinch),CB Radia,,,Fotele gamingowe
Digital Signage & Business TV,"Kable, gniazda, wtyki",Kable optyczne,Cegły i pustaki,,,Fotele geriatryczne
Digital Signage & Business TV,"Kable, gniazda, wtyki",Kable SCART,Cegły i pustaki,,,Fotele ogrodowe
Digital Signage & Business TV,"Kable, gniazda, wtyki",Patchcable,Cegły i pustaki,,,Foteliki rowerowe
Digital Signage & Business TV,Mediaporty,Bloki nablatowe,Centrale systemu,,,Foteliki samochodowe
Digital Signage & Business TV,Mediaporty,Bloki podblatowe,Centrale systemu,,,Fotopułapki
Digital Signage & Business TV,Mediaporty,Kolumny wysuwane,Centrale systemu,,,Frezarki
Digital Signage & Business TV,Mediaporty,Listwy zasilające dedykowane do przyłączy stołowyc,Centrale systemu,,,Frezarki do pięt
Digital Signage & Business TV,Mediaporty,Listwy zasilające podblatowe,Centralki tel. VoIP,,,Froterki
Digital Signage & Business TV,Mediaporty,Moduły indywidualne,Centralki tel. VoIP,,,Frytownice
Digital Signage & Business TV,Mediaporty,Organizery kablowe,Chemia,,,Gadżety
Digital Signage & Business TV,Mediaporty,Ramki,Chemia,,,Gadżety 
Digital Signage & Business TV,Mediaporty,Wpuszczane w blat - otwarte,Chemia,,,Garnki / patelnie nieelektryczne
Digital Signage & Business TV,Mediaporty,Wpuszczane w blat - zamykane,Chemia,,,Garnki elektryczne
Digital Signage & Business TV,Monitory medyczne,Monitory medyczne,Chemia,,,Garnki/patelnie elektryczne
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Infokioski / Totemy,Chemia,,,Gaśnice
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Mocowania specjalistyczne do ekranów LED/LCD,Chemia,,,Gatewaye (bramki)
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Monitory bezramkowe,Chemia,,,Gaziki
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Monitory dotykowe,Chemia,,,Gazy pieprzowe
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Monitory standardowe,Chemia,,,"Gilotyny, Trymery"
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Monitory zewnętrzne,Chemia,,,Gitary i Basy
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Obudowy i standy do ekranów LED/LCD,Chemia,,,Glebogryzarki i kultywatory
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Podstawki i stelaże,Chemia,,,Glukometry
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Splitery i przełączniki video,Chemia,,,Głośniki
Digital Signage & Business TV,Monitory profesjonalne LFD/LCD,Uchwyty,Chemia,,,Głośniki przenośne
Digital Signage & Business TV,Playery DS,Playery DS,Chemia,,,Głowice
Digital Signage & Business TV,Projektory i tablice,Akcesoria do ekranów,Chemia,,,"Gniazda, wtyki"
Digital Signage & Business TV,Projektory i tablice,Akcesoria do projektorów,Chemia,,,Gogle
Digital Signage & Business TV,Projektory i tablice,Akcesoria do tablic,Chemia,,,Gogle i okulary
Digital Signage & Business TV,Projektory i tablice,Ekrany do projektorów,Chemia,,,Gogle wirtualnej rzeczywistości
Digital Signage & Business TV,Projektory i tablice,Lampy,Chemia,,,Golarki/Maszynki do strzyżenia
Digital Signage & Business TV,Projektory i tablice,Oprogramowanie,Chemia,,,GPS - nawigacja satelitarna
Digital Signage & Business TV,Projektory i tablice,Projektory biznesowe,Chemia,,,Grabie
Digital Signage & Business TV,Projektory i tablice,Projektory do kina domowego,Chemia,,,Gramofony
Digital Signage & Business TV,Projektory i tablice,Projektory laserowe,Chemia,,,"Green Gas, CO2, HPA"
Digital Signage & Business TV,Projektory i tablice,Tablice interaktywne,Chemia,,,Grille
Digital Signage & Business TV,Projektory i tablice,Uchwyty do projektorów,Chemia,,,Gry
Digital Signage & Business TV,Projektory i tablice,Uchwyty i stojaki do tablic,Chemia,,,Gry edukacyjne
Digital Signage & Business TV,Telewizja hotelowa,Akcesoria,Chemia,,,Gry erotyczne
Digital Signage & Business TV,Telewizja hotelowa,Maskownice kabli,Chemia,,,Gry kreatywne
Digital Signage & Business TV,Telewizja hotelowa,"Multiswitche, konwertery",Chemia,,,Gryfy
Digital Signage & Business TV,Telewizja hotelowa,Piloty do zdalnego sterowania,Chemia,,,Grzałki
Digital Signage & Business TV,Telewizja hotelowa,Półki pod sprzęt RTV,Chemia,,,Grzbiety do bindowania
Digital Signage & Business TV,Telewizja hotelowa,Stoliki i szafki pod sprzęt RTV,Chemia,,,Grzejniki
Digital Signage & Business TV,Telewizja hotelowa,Telewizory hotelowe,Chemia,,,Gumki
Digital Signage & Business TV,Telewizja hotelowa,Uchwyty do telewizorów/monitorów,Chemia,,,Gumy do ćwiczeń
Dla seniora,Diagnostyka,Ciśnieniomierze,Chemia,,,Gwarancje - rozszerzenia
Dla seniora,Diagnostyka,Dezynfekcja,Chemia,,,Gwarancje i rozszerzenia
Dla seniora,Diagnostyka,Maseczki ochronne,Chemia,,,Gwoździarki
Dla seniora,Diagnostyka,Pikflometry,Chemia,,,Gwoździarki i sztyfciarki
Dla seniora,Diagnostyka,Pomiar składu ciała,Chemia,,,Haczyki i woblery
Dla seniora,Diagnostyka,Pulsoksymetry,Chemia,,,Halogeny
Dla seniora,Diagnostyka,Rękawice jednorazowe,Chemia,,,Hamaki
Dla seniora,Diagnostyka,Termometry,Chemia,,,Hamaki i leżaki
Dla seniora,Diagnostyka,Wagi,Chemia,,,Hantle
Dla seniora,Kuchnia,Akcesoria i pomoce,Chemia,,,Holtery
Dla seniora,Kuchnia,Kubki dla niepełnosprawnych,Chemia,,,Huby USB
Dla seniora,Kuchnia,"Miski, talerze i pojemniki",Chemia,,,Hulajnogi
Dla seniora,Kuchnia,Noże i deski do krojenia,Chemia,,,Huśtawki
Dla seniora,Kuchnia,Otwieracze,Chemia,,,Imadła
Dla seniora,Kuchnia,Śliniaki i fartuchy,Chemia,,,Infokioski / Totemy
Dla seniora,Kuchnia,Sztućce dla niepełnosprawnych,Chemia,,,Inhalatory
Dla seniora,Nowoczesny senior,Aparaty słuchowe,Chemia,,,Inhalatory i nebulizatory
Dla seniora,Nowoczesny senior,Inhalatory i nebulizatory,Chemia,,,Instrumenty dęte
Dla seniora,Nowoczesny senior,Lampy antydepresyjne,Chemia,,,Instrumenty dla dzieci
Dla seniora,Nowoczesny senior,Masażery i maty masujące,Chemia,,,Instrumenty klawiszowe i MIDI
Dla seniora,Nowoczesny senior,Oczyszczacze i nawilżacze powietrza,Chemia,,,Instrumenty muzyczne
Dla seniora,Nowoczesny senior,Olejki do aromaterapii i dyfuzory,Chemia,,,Instrumenty perkusyjne
Dla seniora,Nowoczesny senior,Opaski SOS,Chemia,,,Instrumenty smyczkowe
Dla seniora,Nowoczesny senior,Produkty z konopii,Chemia,,,Inteligentne doniczki
Dla seniora,Nowoczesny senior,Telefony komórkowe,Chemia,,,Inteligentne PDU
Dla seniora,Nowoczesny senior,Urządzenia do pielęgnacji ciała,Chemia,,,Interkomy
Dla seniora,Nowoczesny senior,Wagi medyczne,Chemia,,,Invertery
Dla seniora,Nowoczesny senior,Witaminy i Suplementy diety,Chemia,,,Inwertery
Dla seniora,Ortezy i stabilizatory,Barku,Chemia,,,Irygatory
Dla seniora,Ortezy i stabilizatory,Gorsety i ortezy kręgosłupa,Chemia,,,Izolacja
Dla seniora,Ortezy i stabilizatory,Kolana,Chemia,,,Jajowary
Dla seniora,Ortezy i stabilizatory,Kończyny dolnej,Chemia,,,Kabiny i brodziki
Dla seniora,Ortezy i stabilizatory,Kończyny górnej,Chemia,,,Kable
Dla seniora,Ortezy i stabilizatory,Kołnierze ortopedyczne,Chemia,,,Kable rozruchowe
Dla seniora,Ortezy i stabilizatory,Pasy biodrowe,Chemia,,,Kabury i pokrowce
Dla seniora,Ortezy i stabilizatory,Pasy brzuszne,Chemia,,,Kajaki
Dla seniora,Ortezy i stabilizatory,Pasy żebrowe,Chemia,,,Kajdanki
Dla seniora,Ortezy i stabilizatory,Stopy,Chemia,,,Kalendarze
Dla seniora,Ortezy i stabilizatory,Temblaki,Chemia,,,Kalkulatory
Dla seniora,Ortezy i stabilizatory,Łokcia,Chemia,,,Kamery
Dla seniora,Pomoce codzienne,Akcesoria do podróży,Chemia,,,Kamery inspekcyjne
Dla seniora,Pomoce codzienne,Chwytaki do podnoszenia,Chemia,,,Kamery PTZ
Dla seniora,Pomoce codzienne,Czas wolny i gry,Chemia,,,Kamery termowizyjne
Dla seniora,Pomoce codzienne,Dozowanie kropli do oczu,Chemia,,,Kamienie do Pizzy
Dla seniora,Pomoce codzienne,Gadżety do domu,Chemia,,,Kamizelki
Dla seniora,Pomoce codzienne,Kombinezony,Chemia,,,Kamizelki taktyczne i kuloodporne
Dla seniora,Pomoce codzienne,Maski antysmogowe,Chemia,,,Kanały elektroinstalacyjne
Dla seniora,Pomoce codzienne,Narzędzia ogrodnicze,Chemia,,,Kanistry
Dla seniora,Pomoce codzienne,Nożyczki,Chemia,,,Kapodaster
Dla seniora,Pomoce codzienne,Poduszki obrotowe,Chemia,,,Karabińczyki
Dla seniora,Pomoce codzienne,Pojemniki i kasetki na leki,Chemia,,,Karabińczyki i breloki
Dla seniora,Pomoce codzienne,Pomoce do ubierania,Chemia,,,Karbownice
Dla seniora,Pomoce codzienne,Produkty rozgrzewające,Chemia,,,Karbownice do włosów
Dla seniora,Pomoce codzienne,Rękawice ochronne,Chemia,,,Karma
Dla seniora,Pomoce codzienne,Skarpety zdrowotne,Chemia,,,Karty
Dla seniora,Pomoce codzienne,Wózki na zakupy,Chemia,,,Karty do streamingu
Dla seniora,Poruszanie,Akcesoria do kul i lasek,Chemia,,,Karty dostępu
Dla seniora,Poruszanie,Kule ortopedyczne,Chemia,,,Karty graficzne
Dla seniora,Poruszanie,Laski ortopedyczne,Chemia,,,Karty HBA
Dla seniora,Poruszanie,Nakładki antypoślizgowe na buty,Chlapacze,,,Karty muzyczne
Dla seniora,Poruszanie,Podnośniki i Pionizatory,Chłodzenie,,,Karty pamięci
Dla seniora,Poruszanie,Poruszanie kończyn,Chłodzenie,,,Karty sieciowe
Dla seniora,Poruszanie,Rampy progowe i podjazdowe,Chłodzenie wodne,,,Kasety RDX
Dla seniora,Poruszanie,Rowery rehabilitacyjne trójkołowe,Chłodziarki,,,Kaski
Dla seniora,Poruszanie,Schodołazy,Chodziki,,,Kastry
Dla seniora,Poruszanie,Transfer pacjenta,Chodziki i jeździki,,,Kasy fiskalne
